Layer;Ontology;Path;Concept;Stereotype;Generalizations;Definition;Example;Relations
DOMAIN;DPO;3.Domain:DPO;Architecture Development;event;SPO:Performed Composite Activity   SPO:Performed Simple Activity   ;Activity aiming to produce the Software Architecture and specifying its Architectural Components and Connectors.;;2
DOMAIN;ROoST;3.Domain:ROoST:Testing Artifacts;Code To Be Tested;role;SwO:Code   ;Portion of Code (software module) to be tested by a Test Case.;;2
DOMAIN;CMPO;3.Domain:CMPO;Item;mixin;UFO:Object   ;Object whose configuration may be managed.; Artifacts, Process descriptions, Tools.;0
DOMAIN;ROoST;3.Domain:ROoST:Testing Environment;Test Management Tool;subkind;SPO:Software Product   ;Software Product used to store information on how testing is to be done, plan testing activities and report the status of testing activities (adpated from Wikipedia).;;0
CORE;COM;2.Core:COM:Measure;Scale;;UFO:Measurement Reference Structure   ;Delimitates the space of values possible to be associated by a Measure to a Measurable Element.; the scale of the measure height in meters is a liner structure isomorphic to the positive half-line of the real numbers.;3
DOMAIN;GORO;3.Domain:GORO;Atomic Task;;GORO:Task   ;An Atomic Task is a Task that is not decomposed in other tasks.;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Rolemixin;;UFO:Anti-Rigid Mixin Universal   ;;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Role;;UFO:Anti-Rigid Sortal Universal   ;;;0
CORE;SPO;2.Core:SPO:Process Assets:Stakeholders;Person Stakeholder;role;SPO:Stakeholder   UFO:Person   ;Person interested or affected by the process activities or their results.; an Analyst, a Programmer, a User.;0
CORE;EO;2.Core:EO:Organizational Structure;Complex Standalone Formal Organization;;EO:Standalone Formal Organization   ;;;1
CORE;EO;2.Core:EO:Human Resource Management;Employment;relator;UFO:Social Relator   ;;;5
CORE;SPO;2.Core:SPO:Software Process Execution:Procedure Participation;Procedure Participation;event;UFO:Usage   ;The participation of a Procedure in a Performed Activity.; the adoption of an Interview Technique in a Requirements Elicitation activity.;2
DOMAIN;ROoST;3.Domain:ROoST:Testing Artifacts;Test Incident Report;subkind;ROoST:Incident Report   ;Report describing any event that occurs during the testing process which requires investigation (adapted from ISO/IEC/IEEE 24765:2017 Systems and software engineering-Vocabulary);;1
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Process;Selection of Data for Analysis;event;;Activity for selecting the Measured Values of the selected Software-Related Measures to be analyzed in the Software Measurement Analysis. ;;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A:UFO-A Qualities;Rational MeaRefDimension;;UFO:Measurement Reference Dimension   ;;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-A;Mode Universal;;UFO:Intrisic Moment Universal   ;;;0
DOMAIN;RSMO;3.Domain:RSMO:Software Measurement Process;Software Measurement Process;;SPO:Performed Specific Process   ;The Software Measurement Process is a Process with the purpose of collecting, analyzing, and reporting data relating to the products developed and the processes used to develop them, aiming to support effective processes management and objectively demonstrate products quality.;;3
DOMAIN;RDPO;3.Domain:RDPO;Requirements Documentation;event;SPO:Performed Composite Activity   ;Composite Performed Activity executed for recording Documented Requirements and related Conceptual Models in Requirements Documents, assuring proper recording and management of them during and after the project.;;4
DOMAIN;ROoST;3.Domain:ROoST:Testing Process;Test Case Design Input;rolemixin;SPO:Artifact   ;Some Artifact defined as an input for the Test Case Design.; Requirements Document, Design Document, Code.;1
DOMAIN;CMPO;3.Domain:CMPO;Configuration Item (CI);rolemixin;CMPO:Item   ;Object whose configuration is being managed.; Artifacts, Process descriptions, Tools under Configuration Management.;1
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Belief;;UFO:Mental Moment   ;;;0
FOUNDATIONAL;UFO;1.Foundational:UFO:UFO-C;Social Agent;category;UFO:Agent   ;;;1
DOMAIN;RRO;3.Domain:RRO:Runtime Requirements;Compliance Program;;RRO:RRT Program   ;Compliance Program is a RRT Program that intends to satisfy at least one Monitoring Runtime Requirement Artifact.;;2
DOMAIN;CMPO;3.Domain:CMPO;Configuration Items Identification;event;SPO:Performed Composite Activity   ;Activity for identifying the Configuration Items of a Project.;;1
